Name,Attribute,UL_X,UL_Y,BR_X,BR_Y
designPdf_templateImage_upper.jpg,OPV-0,116,205,250,254
designPdf_templateImage_upper.jpg,HEP-B,116,266,251,316
designPdf_templateImage_upper.jpg,BCG,116,329,251,388
designPdf_templateImage_upper.jpg,OPV-1,349,205,496,253
designPdf_templateImage_upper.jpg,Penta-1,349,267,496,315
designPdf_templateImage_upper.jpg,Rota-1,349,329,496,377
designPdf_templateImage_upper.jpg,PCV-1,349,393,496,441
designPdf_templateImage_upper.jpg,IPV-1,349,456,496,504
designPdf_templateImage_upper.jpg,OPV-2,593,204,740,252
designPdf_templateImage_upper.jpg,Penta-2,593,267,740,315
designPdf_templateImage_upper.jpg,Rota-2,593,328,740,377
designPdf_templateImage_upper.jpg,OPV-3,838,204,984,252
designPdf_templateImage_upper.jpg,Penta-3,838,267,984,316
designPdf_templateImage_upper.jpg,Rota-3,838,329,984,377
designPdf_templateImage_upper.jpg,PCV-2,838,392,984,440
designPdf_templateImage_upper.jpg,IPV-2,838,455,984,503
designPdf_templateImage_upper.jpg,MR-1,1083,204,1230,253
designPdf_templateImage_upper.jpg,JE-1,1083,267,1230,317
designPdf_templateImage_upper.jpg,Vitamin_A-1,1083,327,1230,376
designPdf_templateImage_upper.jpg,PCV_Booster,1083,392,1230,440
designPdf_templateImage_lower.jpg,DPT_Booster-1,116,206,250,255
designPdf_templateImage_lower.jpg,Vitamin_A-2,116,275,250,322
designPdf_templateImage_lower.jpg,MR-2,116,354,250,403
designPdf_templateImage_lower.jpg,JE-2,116,435,250,482
designPdf_templateImage_lower.jpg,OPV-Booster,116,514,250,563
designPdf_templateImage_lower.jpg,DPT_Booster-2,348,206,495,255
designPdf_templateImage_lower.jpg,TT_1,592,206,738,255
designPdf_templateImage_lower.jpg,TT_2,838,206,984,255